week,date,notes,quiz,quiz_content,n_class,stub_class,name_class,description_class,project_name,project_description,n_assign,stub_assign,name_assign,due_assign,n_project,stub_project,name_project,due_project
1,2023/08/30,,,,1,getting-started,Getting Started,"Class orientation, intro to R, workflow, packages",Introductions,Introductions to each other and potential projects,1,data-wrangling,Data Wrangling,2023/09/05,,,,
2,2023/09/06,Use google spreadsheet,,,2,data-wrangling,Data Wrangling,"Importing, wrangling, and summarizing data in R",Decision Variables,Distinguishing between decision variables and product attributes,2,quarto-plotting,Quarto & Plotting,2023/09/12,,,,
3,2023/09/13,Use google doc,1,Week 2,3,quarto-plotting,Quarto & Plotting,"Intro to ""literate programming"" with Quarto and plotting with {ggplot2}",Project Scope,"Defining attribute levels, target survey population, competitors",3,intro-to-formr,Intro to formr,2023/09/19,1,proposal,Proposal,2023/09/24
4,2023/09/20,"Just basic surveys: markdown, images, code, randomization",,,4,intro-to-formr,Intro to formr,Designing and implementing surveys in formr,Survey Plan 1,"Overview of survey plan, work on proposals",,,,,,,,
5,2023/09/27,,,,,,Project Workshop: Team Meetings & Proposal Feedback,,,Feedback on proposals,4,conjoint-questions,Conjoint Surveys in formr,2023/10/03,2,survey-plan,Survey Plan,2023/10/03
6,2023/10/04,Demo cbc_design(); labeled vs. non-labeled surveys,,,6,conjoint-questions,Conjoint Questions,"Generating conjoint questions in R, implementing in formr",Survey Plan 2,Begin implementing survey plan in formr,5,utility-models,Utility Models,2023/10/10,3,pilot-survey,Pilot Survey,2023/10/17
7,2023/10/11,,2,Week 4,7,utility-models,Utility Models,"Intro to utility models, discrete vs. continuous parameters, parameter coding",Pilot Survey,Finish implementing pilot survey in formr,6,optimization-mle,Optimization & MLE,2023/10/17,,,,
8,2023/10/18,"MLE practice questions, importing data from formr, joins;  Also for HW, everyone takes everyone else's pilot surveys",3,Week 7,8,optimization-mle,Optimization & MLE,"Optimization, maximum likelihood estimation",Pilot Analysis 1,"Import & clean pilot data, joins",7,uncertainty,Uncertainty,2023/10/24,,,,
9,2023/10/25,"Uncertainty, pivot_longer / pivot_wider, creating choice data and estimating models",,,9,uncertainty,Uncertainty,Computing uncertainty in coefficient estimates,Pilot Analysis 2,"Reshaping data (tidy data), estimating models",8,doe-power-analysis,DOE & Power Analysis,2023/10/31,4,pilot-analysis,Pilot Analysis,2023/11/05
10,2023/11/01,"DOE, sample size calculations, plotting results",4,Week 8,10,doe-power-analysis,DOE & Power Analysis,Designing your survey to reduce error,Pilot Analysis 3,"Refine attributes & levels, conduct power analysis, plot results",9,wtp-simulation,WTP & Simulation,2023/11/07,,,,
11,2023/11/08,"WTP, market simulations using pilot data",,,11,wtp-simulation,WTP & Simulation,"Computing WTP, WTP space models, market simulations",WTP & Simulation,"Compute WTP, define market simulations, finalize final survey",10,heterogeneity,Heterogeneity,2023/11/14,5,final-survey,Final Survey,2023/11/19
12,2023/11/15,"Two groups, mixed logit",5,Week 11,12,heterogeneity,Heterogeneity,Modeling differences in preferences across sample population,Heterogeneity,Estimate mixed logit and subpopulation models on pilot data,,,,,,,,
13,2023/11/22,,,,,,Thanksgiving - no class,,Final Survey Feilding,Collecting data for final survey,,,,,,,,
14,2023/11/29,Class overview + sensitivity analyses and plots,,,13,class-review,Class Review,Overview of course concepts,Sensitivity Analyses,Compute sensitivity analyses,11,exam,Exam,2023/12/03,6,final-analysis,Final Analysis,2023/12/10
15,2023/12/06,"Go over exam solutions, what should be in your final report, what makes for a good presentation",,,14,story-telling,Story Telling,Go over exam solutions and also discuss tips for giving a good presentation,Final Analysis Lab,In class time to work on final analysis,,,,,,,,
16,2023/12/13,,,,15,final-presentations,Final Presentations,In-class presentation showcase w/Q&A,,,,,,,7,final-presentation,Final Presentation,2023/12/12
